name,address,website,phone_number,rating,reviews,category,location,url,business_hours,timestamp
Whole Foods Market,Sponsored Whole Foods Market 4.3(7.7K) · $$$ · Supermarket 1095 6th Avenue Open · Closes 10 pm Delivery·No dine-in 	 Visit a Store Near You - Our standards prohibit over 100 preservatives & other ingredients commonly found in food.,,,4.3,(7.7K),coffee shops,New York,,,2026-01-21 22:55:55
Kolkata Chai Co - East Village,"Sponsored Kolkata Chai Co - East Village 4.4(516) · Cafe 199 East 3rd Street Open · Closes 7 pm Dine-in·Takeaway·Delivery 	 Real Chai, NYC Vibes - Stop by our Nolita location and enjoy a cup of freshly brewed chai, street style.",,,4.4,(516),coffee shops,New York,,,2026-01-21 22:57:55
New York Coffee۔ نیویارک کافی,4.2(2.2K) · $$ · Coffee shop,,,4.2,(2.2K),coffee shops,New York,,,2026-01-21 22:59:56
Coffee Project New York | East Village,4.6(808) · $1–10 · Coffee shop,,,4.6,(808),coffee shops,New York,,,2026-01-21 23:01:56
La Cabra Bakery,4.7(1.5K) · $10–20 · Coffee shop,,,4.7,(1.5K),coffee shops,New York,,,2026-01-21 23:03:56
GRIND THE NYC COFFEE SHOP & BAGEL HOUSE,4.7(2K) · $10–20 · Coffee shop,,,4.7,(2K),coffee shops,New York,,,2026-01-21 23:05:56
Stumptown Coffee Roasters,4.5(1.7K) · $1–10 · Coffee shop,,,4.5,(1.7K),coffee shops,New York,,,2026-01-21 23:07:56
787 Coffee Co.,4.8(5.1K) · $1–10 · Coffee shop,,,4.8,(5.1K),coffee shops,New York,,,2026-01-21 23:09:56
"Drip Drop Café, coffee shop",4.7(753) · $1–10 · Coffee shop,,,4.7,(753),coffee shops,New York,,,2026-01-21 23:11:57
Little Collins,4.5(2.6K) · $20–30 · Coffee shop,,,4.5,(2.6K),coffee shops,New York,,,2026-01-21 23:13:57
787 coffee,4.9(3K) · $1–10 · Coffee shop,,,4.9,(3K),coffee shops,New York,,,2026-01-21 23:15:57
Bibble & Sip,4.5(3.6K) · $10–20 · Coffee shop,,,4.5,(3.6K),coffee shops,New York,,,2026-01-21 23:19:57
Urban Backyard,4.7(709) · $1–10 · Coffee shop,,,4.7,(709),coffee shops,New York,,,2026-01-21 23:21:57
Sote Coffee Roasters,4.8(344) · $1–10 · Coffee shop,,,4.8,(344),coffee shops,New York,,,2026-01-21 23:23:57
Frisson Espresso,4.7(1.3K) · $1–10 · Coffee shop,,,4.7,(1.3K),coffee shops,New York,,,2026-01-21 23:37:59
