name,rating,total_reviews,category,address,phone,website,price_range,hours_status,google_maps_url
The Lucerne Hotel,N/A,1.2K,4-star hotel,"201 W 79th St, New York, NY 10024, United States",+1 212-875-1000,N/A,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=#rlimm=16575023833780136278
Victory Sweet Shop/Victory Garden Cafe,4.5,1.2K,$20–30,"21-69 Steinway St, Astoria, NY 11105, United States",+1 718-274-2087,https://victorysweetshop.com/garden-cafe/,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=#rlimm=5134776318379173873
OLIO E PIÙ,4.7,1.2K,$20–30,"3 Greenwich Ave, New York, NY 10014, United States",+1 212-243-6546,https://www.olioepiu.com/,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0iJgfWO5oCAgAhaJRAAGAIYAyIXcmVzdGF1cmFudHMgaW4gbmV3IHlvcmsqBAgDEACSAQpyZXN0YXVyYW50#rlimm=2975234135803511093
The Smith,4.4,1.2K,$20–30,"1150 Broadway, New York, NY 10010, United States",+1 212-685-4500,https://thesmithrestaurant.com/location/nomad/,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0i6hMiVz6uAgAhaJRAAGAIYAyIXcmVzdGF1cmFudHMgaW4gbmV3IHlvcmsqBAgDEACSARNhbWVyaWNhbl9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ0YWpsaVozRjNSUkFC-gEFCKABEEY#rlimm=13158571210448955336
Manhatta,4.7,1.2K,$$$$,"28 Liberty St 60th floor, New York, NY 10005, United States",+1 212-230-5788,https://www.manhattarestaurant.com/,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0i20p6bva6AgAhaJRAAGAIYAyIXcmVzdGF1cmFudHMgaW4gbmV3IHlvcmsqBAgDEACSARpuZXdfdXNfYW1lcmljYW5fcmVzdGF1cmFudA#rlimm=6967162704871465124
Jiang Nan NYC,4.8,1.2K,$20–30,"103 Bowery, New York, NY 10002, United States",+1 212-775-8998,https://jiangnanny.com/,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0iLg-q9hrmAgAhaJRAAGAIYAyIXcmVzdGF1cmFudHMgaW4gbmV3IHlvcmsqBAgDEACSARJjaGluZXNlX3Jlc3RhdXJhbnSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjVDVVZONlFYUmlXR2gxVWxWc1IyVnFWazVPVjFveFkwaHdRbEpzUlJBQvoBBAgYEEo#rlimm=11036176507492247839
abc kitchen,4.4,1.2K,$100+,"35 E 18th St, New York, NY 10003, United States",+1 212-475-5829,https://www.abckitchen.nyc/,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0i5perlA1olEAAYAhgDIhdyZXN0YXVyYW50cyBpbiBuZXcgeW9yayoECAMQAJIBCnJlc3RhdXJhbnQ#rlimm=9199015129918937122
Eataly,4.2,1.2K,$20–30,"101 Liberty St, New York, NY 10007, United States",+1 212-897-2895,https://www.eataly.com/us_en/stores/nyc-downtown/restaurants,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0iUw9aog6uAgAhaJRAAGAIYAyIXcmVzdGF1cmFudHMgaW4gbmV3IHlvcmsqBAgDEACSARJpdGFsaWFuX3Jlc3RhdXJhbnSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjVzVG1OVmJEQmtSbkJ6WWpKd1dVNTZVbTlXVlhoUFZVVktkMU15WXhBQvoBBAgAEEM#rlimm=1416786665941882505
Bubby's,4.4,1.2K,$20–30,"120 Hudson St, New York, NY 10013, United States",+1 212-219-0666,https://www.bubbys.com/,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0i41bX-A1olEAAYAhgDIhdyZXN0YXVyYW50cyBpbiBuZXcgeW9yayoECAMQAJIBE2FtZXJpY2FuX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTndhalJNT1c1UlJSQUL6AQQIVRBA#rlimm=5611732157661087317
1803 NYC,4.5,1.2K,$20–30,"82 Reade St, New York, NY 10007, United States",+1 212-267-3000,https://1803nyc.com/,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0iHtayb_6yAgAhaJRAAGAIYAyIXcmVzdGF1cmFudHMgaW4gbmV3IHlvcmsqBAgDEACSARBjYWp1bl9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5YTkhKVWQzZDNSUkFC-gEECBgQOQ#rlimm=1614607817747620329
Petite Boucherie,4.7,1.2K,$100+,"First Floor, 14 Christopher St, New York, NY 10014, United States",+1 646-756-4145,https://www.boucherieus.com/,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0i9hInNvoKAgAhaJRAAGAIYAyIXcmVzdGF1cmFudHMgaW4gbmV3IHlvcmsqBAgDEACSARFmcmVuY2hfcmVzdGF1cmFudA#rlimm=12769026215543562150
Le Bernardin,4.6,1.2K,$100+,"155 W 51st St, New York, NY 10019, United States",+1 212-554-1515,https://www.le-bernardin.com/home,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0issrErWiUQABgCGAMiF3Jlc3RhdXJhbnRzIGluIG5ldyB5b3JrKgQIAxAAkgERZnJlbmNoX3Jlc3RhdXJhbnQ#rlimm=7298340055988969067
Via Carota,4.4,1.2K,$100+,"51 Grove St, New York, NY 10014, United States","51 Grove St, New York, NY 10014, United States",http://viacarota.com/,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0j-0Ii_q6qAgAhaJRAAGAIYAyIXcmVzdGF1cmFudHMgaW4gbmV3IHlvcmsqBAgDEACSARJpdGFsaWFuX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTllMV0V6ZEdWM0VBRfoBBAgkED8#rlimm=16472713729583313083
Au Cheval,4.7,1.2K,$100+,"33 Cortlandt Alley, New York, NY 10013, United States",+1 646-350-2429,https://www.auchevaldiner.com/nyc/home,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0jWqaGz9a6AgAhaJRAAGAIYAyIXcmVzdGF1cmFudHMgaW4gbmV3IHlvcmsqBAgDEACSARpuZXdfdXNfYW1lcmljYW5fcmVzdGF1cmFudJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyeE9RMUZWT1V4UmJFSXlUVzFaZVU1VlpGbFVXR1JwVlRGQ1NsUkdSUkFC-gEECAAQSA#rlimm=346750043012854033
Piccola Cucina Osteria Siciliana,4.6,1.2K,$20–30,"196 Spring St, New York, NY 10012, United States",+1 646-478-7488,http://www.piccolacucinagroup.com/,N/A,N/A,https://www.google.com/search?q=restaurants+in+New+York&udm=1&lqi=ChdyZXN0YXVyYW50cyBpbiBOZXcgWW9ya0ipmuzmzI-AgAhaJRAAGAIYAyIXcmVzdGF1cmFudHMgaW4gbmV3IHlvcmsqBAgDEACSARJpdGFsaWFuX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlVhWE15VUd4QlJSQUL6AQQIYBBG#rlimm=5472139628830047106
